#jet
0	0	144
0	0	160
0	0	176
0	0	192
0	0	208
0	0	224
0	0	240
0	0	255
0	16	255
0	32	255
0	48	255
0	64	255
0	80	255
0	96	255
0	112	255
0	128	255
0	144	255
0	160	255
0	176	255
0	192	255
0	208	255
0	224	255
0	240	255
0	255	255
16	255	240
32	255	224
48	255	208
64	255	192
80	255	176
96	255	160
112	255	144
128	255	128
144	255	112
160	255	96
176	255	80
192	255	64
208	255	48
224	255	32
240	255	16
255	255	0
255	240	0
255	224	0
255	208	0
255	192	0
255	176	0
255	160	0
255	144	0
255	128	0
255	112	0
255	96	0
255	80	0
255	64	0
255	48	0
255	32	0
255	16	0
255	0	0
240	0	0
224	0	0
208	0	0
192	0	0
176	0	0
160	0	0
144	0	0
128	0	0
#parula
62	39	169
64	43	181
66	47	192
68	51	203
70	55	214
71	60	223
71	66	230
72	71	236
72	77	241
72	83	245
72	88	248
71	94	251
69	100	253
67	106	254
63	112	255
57	118	255
51	124	253
47	130	250
46	135	247
45	141	243
44	146	239
40	151	236
38	156	232
36	161	229
32	165	227
29	170	224
25	174	220
18	178	215
8	181	209
1	184	202
2	187	196
12	189	189
25	192	182
36	194	175
44	196	168
50	198	160
56	200	152
63	202	142
75	204	133
87	205	123
100	205	112
114	205	100
129	204	89
144	203	78
158	201	67
172	199	57
185	197	49
198	194	42
210	192	40
221	189	41
231	187	46
240	186	54
249	187	62
254	190	61
255	196	57
254	202	52
253	208	49
250	214	46
247	221	42
246	227	40
245	233	37
246	240	33
248	245	28
250	251	21
#hsv
255	0	0
255	24	0
255	48	0
255	72	0
255	96	0
255	120	0
255	144	0
255	168	0
255	192	0
255	216	0
255	240	0
248	255	0
224	255	0
200	255	0
176	255	0
152	255	0
128	255	0
104	255	0
80	255	0
56	255	0
32	255	0
8	255	0
0	255	16
0	255	40
0	255	64
0	255	88
0	255	112
0	255	136
0	255	160
0	255	184
0	255	208
0	255	232
0	255	255
0	232	255
0	208	255
0	184	255
0	160	255
0	136	255
0	112	255
0	88	255
0	64	255
0	40	255
0	16	255
8	0	255
32	0	255
56	0	255
80	0	255
104	0	255
128	0	255
152	0	255
176	0	255
200	0	255
224	0	255
248	0	255
255	0	240
255	0	216
255	0	192
255	0	168
255	0	144
255	0	120
255	0	96
255	0	72
255	0	48
255	0	24
